# Metadata file CSV - AWS (Automatic Weather Station)
# Dibuat oleh: Firly Hafiz Syahreza
# Tanggal pembuatan: 7 Januari 2025
# Deskripsi: File ini berisi data pengukuran parameter cuaca dari Automatic Weather Station (AWS) di lokasi pengamatan.
# Sumber data: Logsheet Excel yang telah dikonversi ke format CSV.
# Lokasi: Pulau Pramuka, Kepulauan Seribu
# Periode pengamatan: 14 Juli 2024 - 22 Juli 2024
# Format waktu: Waktu lokal (WIB)
# Penjelasan kolom:
# - Tahun: Tahun pengamatan.
# - Bulan: Bulan pengamatan.
# - Tanggal: Tanggal pengamatan.
# - Waktu: Waktu pengamatan (format HH:MM:SS).
# - Keceptan Angin (m/s): Kecepatan angin dalam m/s.
# - Arah angin (°): Arah angin dalam derajat.
# - Temperatur (°C) In: Suhu udara dalam derajat Celsius.
# - Temperatur (°C) Out: Suhu udara dalam derajat Celsius.
# - Kelembapan (%) In: Kelembapan udara dalam persen.
# - Kelembapan (%) Out: Kelembapan udara dalam persen.
# - Curah Hujan: Curah hujan dalam mm.
# - Tekanan (hpa): Tekanan udara dalam hPa (hektopascal).
Tahun,Bulan,Tanggal,Waktu,Kecepatan Angin (m/s),Arah angin (⁰),Temperatur(℃) In,Temperatur(℃) Out,Kelembapan (%) In,Kelembapan (%) Out,Curah Hujan,Tekanan (hpa)
2024,7,16,11.30.00,1.55,147.5,29,29,69,69.5,0.0,758.6
2024,7,16,11.45.00,1.55,198.0,29,29,71,68,0.0,758.4
2024,7,16,12.00.00,1.8,153.0,30,30,71,63,0.0,758.35
2024,7,16,12.15.00,0.65,132.0,30,30,71,62.5,0.0,758.1
2024,7,16,12.30.00,1.1,71.0,31,30,71,61,0.0,757.9
2024,7,16,12.45.00,1.3,130.5,31,30,70,60,0.0,757.9
2024,7,16,13.00.00,0.2,62.0,31,30,70,60,0.0,757.8
2024,7,16,13.15.00,0.4,63.5,31,30,70,60,0.0,757.7
2024,7,16,13.30.00,0.9,68.0,32,31,70,60,0.0,757.3
2024,7,16,13.45.00,0.45,59.0,32,31,69,58.5,0.0,757.2
2024,7,16,14.00.00,0.4,68.0,32,31,69,56.5,0.0,756.3
2024,7,16,14.15.00,1.1,67.0,32,31,69,56,0.0,756.7
2024,7,16,14.30.00,0.65,60.0,33,31,68,58,0.0,756.8
2024,7,16,14.45.00,0.45,40.5,33,31,68,59,0.0,756.7
2024,7,16,15.00.00,1.35,56.0,33,31,68,59,0.0,756.7
2024,7,16,15.15.00,0.9,49.0,33,31,68,60.5,0.0,756.7
2024,7,16,15.30.00,1.1,55.0,34,30,68,61,0.0,756.6
2024,7,16,15.45.00,0.9,56.0,34,30,67,62,0.0,756.8
2024,7,16,16.00.00,0.65,65.0,33,30,67,63.5,0.0,756.9
2024,7,16,16.15.00,0.65,37.0,33,30,67,65,0.0,756.9
2024,7,16,16.30.00,0.9,49.0,33,30,67,64,0.0,756.9
2024,7,16,16.45.00,1.1,37.5,33,30,67,67,0.0,756.9
2024,7,16,17.00.00,1.75,41.0,32,30,67,67,0.0,756.7
2024,7,16,17.15.00,1.55,38.0,32,30,67,68,0.0,756.9
2024,7,16,17.30.00,1.1,35.5,32,29,67,69,0.0,757.0
2024,7,16,17.45.00,1.8,44.5,31,29,67,69,0.0,757.1
2024,7,16,18.00.00,1.1,48.5,31,29,67,70.5,0.0,757.1
2024,7,16,18.15.00,2,38.5,30,29,68,72,0.0,754.5
2024,7,16,18.30.00,1.35,34.5,29,29,68,72,0.0,754.7
2024,7,16,18.45.00,1.1,41.0,29,29,68,72,0.0,757.4
2024,7,16,19.00.00,0.65,41.5,29,29,69,72,0.0,757.5
2024,7,16,19.15.00,1.55,36.0,28,29,69,73.5,0.0,757.6
2024,7,16,19.30.00,1.55,76.0,28,29,69,73,0.0,757.8
2024,7,16,19.45.00,1.1,41.0,28,29,69,74,0.0,758.0
2024,7,16,20.00.00,0.9,40.0,28,29,69,74,0.0,758.05
2024,7,16,20.15.00,0.85,60.0,29,29,69,74,0.0,758.3
2024,7,16,20.30.00,1.5,53.5,28,29,69,75,0.0,758.25
2024,7,16,20.45.00,1.3,34.5,28,29,70,75.5,0.0,758.4
2024,7,16,21.00.00,1.55,38.0,28,29,70,74,0.0,758.45
2024,7,16,21.15.00,1.55,39.0,28,29,70,75,0.0,758.6
2024,7,16,21.30.00,1.1,36.0,28,29,70,75,0.0,758.65
2024,7,16,21.45.00,1.75,34.0,28,29,70,75,0.0,758.6
2024,7,16,22.00.00,1.1,25.5,28,29,70,76,0.0,758.7
2024,7,16,22.15.00,1.1,40.5,28,29,70,75,0.0,758.5
2024,7,16,22.30.00,0.9,62.5,28,29,70,76,0.0,758.6
2024,7,16,22.45.00,0.9,60.0,28,29,71,75,0.0,758.6
2024,7,16,23.00.00,0,59.0,28,29,71,75,0.0,758.6
2024,7,16,23.15.00,0,46.0,27,28.5,71,76,0.0,758.5
2024,7,16,23.30.00,0.4,56.0,27,28,71,75,0.0,758.5
2024,7,16,23.45.00,0.65,74.0,27,28.5,71,75,0.0,758.4
2024,7,17,00.00.00,0,120.0,27,28,71,76,0.0,758.3
2024,7,17,00.15.00,0.9,138.0,27,28,71,76,0.0,758.2
2024,7,17,00.30.00,0,64.0,27,28,71,75,0.0,758.1
2024,7,17,00.45.00,0,84.0,27,28,72,76,0.0,757.9
2024,7,17,01.00.00,0.4,161.0,27,28,72,75,0.0,757.9
2024,7,17,01.15.00,3.1,126.0,27,28,72,78,0.0,757.7
2024,7,17,01.30.00,1.3,115.0,27,28,72,72,0.0,757.5
2024,7,17,01.45.00,3.1,126.0,27,28,72,78,0.0,757.6
2024,7,17,02.00.00,1.8,113.0,27,28,72,78,0.0,757.3
2024,7,17,02.15.00,0.9,93.0,27,28,72,79,0.0,757.1
2024,7,17,02.30.00,2.7,123.0,26,28,72,80,0.0,756.9
2024,7,17,02.45.00,2.2,112.0,26,28,72,79,0.0,756.9
2024,7,17,03.00.00,1.3,99.0,26,28,73,79,0.0,756.8
2024,7,17,03.15.00,1.3,112.0,26,28,73,79,0.0,756.7
2024,7,17,03.30.00,2.7,138.0,26,28,73,80,0.0,756.8
2024,7,17,03.45.00,0.4,119.0,26,28,73,80,0.0,756.8
2024,7,17,04.00.00,3.1,145.0,26,28,73,80,0.0,757.8
2024,7,17,04.15.00,0.9,64.0,26,28,73,80,0.0,757.2
2024,7,17,04.30.00,0.9,104.0,26,28,73,80,0.0,757.2
2024,7,17,04.45.00,0.9,62.0,26,28,73,80,0.0,757.2
2024,7,17,05.00.00,0.4,123.0,26,28,73,81,0.0,757.3
2024,7,17,05.15.00,1.8,152.0,26,28,73,80,0.0,757.4
2024,7,17,05.30.00,1.3,118.0,26,28,74,81,0.0,757.4
2024,7,17,05.45.00,1.3,88.0,26,28,74,81,0.0,757.5
2024,7,17,06.00.00,2.9,120.0,26,27.5,74,81,0.0,757.6
2024,7,17,06.15.00,3.1,108.5,26,28,74,81,0.0,757.6
2024,7,17,06.30.00,2.2,117.5,26,28,74,81,0.0,757.8
2024,7,17,06.45.00,3.55,88.5,27,28,74,81,0.0,758.0
2024,7,17,07.00.00,1.35,95.5,27,28,74,79,0.0,758.1
2024,7,17,07.15.00,1.1,110.0,27,28,74,80,0.0,758.3
2024,7,17,07.30.00,2,122.0,28,28,74,79,0.0,758.5
